Set_Date,Collection_Date,SiteCode,Collection_interval,CollectionInterval_PNRCode,Treatment,Plot,PNR_Code,Traps_Dumped_copied_from_PNR_ENV_2022,Notes_Aaron,Notes_copied_from_PNR_ENV_2022,Beetle_vial_examined_Y_or_N,Total_Carabidae_during_pinning,Total_Carabidae_from_sum_of_species_counts,Agonoleptus_thoracicus,Agonum_fidele,Amarini_unknown,Amerizus_unknown,Anisodactylus_harrisi,Anisodactylus_melanopus,Anisodactylus_nigerrimus,Apenes_lucidula,Carabus_goryi,Chlaenius_emarginatus,Cyclotrachelus_fucatus,Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,Cymindis_limbata,Cymindis_platicollis,Dicaelus_politus,Dicaelus_teter,Galerita_bicolor,Harpalus_spadiceus,Lophoglossus_scrutator,Myas_coracinus,Notiophilus_aeneus,Olisthopus_unknown_likely_parmatus,Patrobus_longicornis,Platynus_angustatus,Platynus_hypolithos,Platynus_tenuicollis,Platynus_decentis,Pterostichus_adoxus,Pterostichus_atratus,Pterostichus_coracinus,Pterostichus_diligendus,Pterostichus_hamiltoni,Pterostichus_lachrymosus,Pterostichus_moestus,Pterostichus_rostratus,Pterostichus_sayanus,Pterostichus_stygicus,Pterosichus_tristis,Scaphinotus_andrewsii,Scaphinotus_imperfectus,Scaphinotus_ridingsii,Scaphinotus_viduus,Sphaeroderus_canadensis,Sphaeroderus_stenostomus,Synuchus_impunctatus,Trichotichnus_autumnalis
2022-07-13,2022-07-27,F(56/15),3,3_15,F,56,15,0,,,y,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,
2022-07-13,2022-07-27,S(57/16),3,3_16,S,57,16,1,,,y,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,1,,,,,,,1,,,,
2022-07-13,2022-07-27,F(58/17),3,3_17,F,58,17,0,,,y,,6,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,
2022-07-13,2022-07-27,W(59/18),3,3_18,W,59,18,0,,,y,,7,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,
2022-07-13,2022-07-27,F(60/19),3,3_19,F,60,19,0,previously some beetles were pinned in wooster (?) - I just pinned one additional silphid from the beetle container,,y,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,2022-07-27,S(61/20),3,3_20,S,61,20,0,,,y,,5,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,2022-07-27,F(62/21),3,3_21,F,62,21,0,,,y,,16,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,,1,4,,
2022-07-13,2022-07-27,W(63/22),3,3_22,W,63,22,0,,,y,,13,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,2,,
2022-07-13,2022-07-27,F(64/23),3,3_23,F,64,23,0,,,y,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-07-27,2022-08-11,F(41/0),4,4_0,F,41,0,0,,,y,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,2,,,,,,,,,2,,
2022-07-27,2022-08-11,S(42/1),4,4_1,S,42,1,0,,,y,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022-08-11,W(43/2),4,4_2,W,43,2,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-07-27,2022-08-11,F(44/3),4,4_3,F,44,3,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-07-27,2022-08-11,F(45/4),4,4_4,F,45,4,0,Someone incorrectly labelled this one - making it impossible to distinguish from F(50/9),,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-27,2022-08-11,S(46/5),4,4_5,S,46,5,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,
2022-07-27,2022-08-11,W(47/6),4,4_6,W,47,6,0,,,y,,12,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,,1,,1,1,,,1,2,,,,,,1,,
2022-07-27,2022-08-11,F(48/7),4,4_7,F,48,7,0,,,y,,3,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2022-07-27,2022-08-11,S(49/8),4,4_8,S,49,8,0,,,y,,15,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,,,,,,,,,
2022-07-27,2022-08-11,F(50/9),4,4_9,F,50,9,0,Someone incorrectly labelled this one - making it impossible to distinguish from F(45/4),,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-27,2022-08-11,W(51/10),4,4_10,W,51,10,0,,,y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,
2022-07-27,2022-08-11,F(52/11),4,4_11,F,52,11,0,there are two beetle vials - 3 in first - 13 in second  - I will mark NEW on specimens from the second vial,,y,16,16,,,,,,,1,,,1,,,,,4,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,1,2,,
2022-07-27,2022-08-11,S(53/12),4,4_12,S,53,12,0,,,y,,9,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,1,,,,,1,,,,,,1,,
2022-07-27,2022-08-11,F(54/13),4,4_13,F,54,13,0,,,y,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,
2022-07-27,2022-08-11,W(55/14),4,4_14,W,55,14,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2022-07-27,2022-08-11,F(56/15),4,4_15,F,56,15,0,,,y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022-08-11,S(57/16),4,4_16,S,57,16,0,,,y,,12,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,2,,,,1,1,,,,,2,,,,,,2,,
2022-07-27,2022-08-11,F(58/17),4,4_17,F,58,17,0,,,y,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2022-07-27,2022-08-11,W(59/18),4,4_18,W,59,18,0,,,y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2022-07-27,2022-08-11,F(60/19),4,4_19,F,60,19,0,,,y,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,
2022-07-27,2022-08-11,S(61/20),4,4_20,S,61,20,0,,,y,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,3,,
2022-07-27,2022-08-11,F(62/21),4,4_21,F,62,21,1,,,y,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022-08-11,W(63/22),4,4_22,W,63,22,0,,,y,,12,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,1,,,,1,,,,,,2,,
2022-07-27,2022-08-11,F(64/23),4,4_23,F,64,23,0,,,y,,9,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,
2022-08-11,2022-08-23,F(41/0),5,5_0,F,41,0,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2022-08-11,2022-08-23,S(42/1),5,5_1,S,42,1,0,,,y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2022-08-11,2022-08-23,W(43/2),5,5_2,W,43,2,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-08-11,2022-08-23,F(44/3),5,5_3,F,44,3,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,
2022-08-11,2022-08-23,F(45/4),5,5_4,F,45,4,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
2022-08-11,2022-08-23,S(46/5),5,5_5,S,46,5,0,,horsehair worm in trap!,y,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,
2022-08-11,2022-08-23,W(47/6),5,5_6,W,47,6,0,,,y,10,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,1,,,,1,,,,,,,,,,3,,
2022-08-11,2022-08-23,F(48/7),5,5_7,F,48,7,0,,,y,6,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,
2022-08-11,2022-08-23,S(49/8),5,5_8,S,49,8,0,,,y,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,,,,,,,,,
2022-08-11,2022-08-23,F(50/9),5,5_9,F,50,9,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
2022-08-11,2022-08-23,W(51/10),5,5_10,W,51,10,0,,,y,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,1,,
2022-08-11,2022-08-23,F(52/11),5,5_11,F,52,11,0,,,y,7,7,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,,,,,2,,,,,,,,,,,1,,
2022-08-11,2022-08-23,S(53/12),5,5_12,S,53,12,0,,,y,4,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,
2022-08-11,2022-08-23,F(54/13),5,5_13,F,54,13,0,,,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11,2022-08-23,W(55/14),5,5_14,W,55,14,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
2022-08-11,2022-08-23,F(56/15),5,5_15,F,56,15,0,,,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11,2022-08-23,S(57/16),5,5_16,S,57,16,0,,,y,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022-08-11,2022-08-23,F(58/17),5,5_17,F,58,17,0,,,y,3,3,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
2022-08-11,2022-08-23,W(59/18),5,5_18,W,59,18,0,,,y,3,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,
2022-08-11,2022-08-23,F(60/19),5,5_19,F,60,19,0,,,y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,
2022-08-11,2022-08-23,S(61/20),5,5_20,S,61,20,0,,,y,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,4,,
2022-08-11,2022-08-23,F(62/21),5,5_21,F,62,21,0,,,y,8,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,1,,
2022-08-11,2022-08-23,W(63/22),5,5_22,W,63,22,0,,,y,5,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,
2022-08-11,2022-08-23,F(64/23),5,5_23,F,64,23,0,,,y,9,9,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,1,,,,,,1,,,1,,,,,,,,,
2022-08-23,2022-09-06,F(41/0),6,6_0,F,41,0,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
2022-08-23,2022-09-06,S(42/1),6,6_1,S,42,1,0,,,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,W(43/2),6,6_2,W,43,2,0,,,y,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,
2022-08-23,2022-09-06,F(44/3),6,6_3,F,44,3,0,,,y,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2022-08-23,2022-09-06,F(45/4),6,6_4,F,45,4,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,S(46/5),6,6_5,S,46,5,0,,,y,,19,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,1,,,,,,,7,2,,,,1,,4,,
2022-08-23,2022-09-06,W(47/6),6,6_6,W,47,6,0,,,y,4,4,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,,,,,
2022-08-23,2022-09-06,F(48/7),6,6_7,F,48,7,0,,,y,,8,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,1,,,,,,,,
2022-08-23,2022-09-06,S(49/8),6,6_8,S,49,8,0,,,y,4,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,
2022-08-23,2022-09-06,F(50/9),6,6_9,F,50,9,0,,,y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,W(51/10),6,6_10,W,51,10,0,,,y,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,2,,
2022-08-23,2022-09-06,F(52/11),6,6_11,F,52,11,0,,,y,,18,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,5,,,,,3,,,,1,1,,,1,,,,,
2022-08-23,2022-09-06,S(53/12),6,6_12,S,53,12,0,,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,
2022-08-23,2022-09-06,F(54/13),6,6_13,F,54,13,0,,,y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,W(55/14),6,6_14,W,55,14,0,,,y,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,F(56/15),6,6_15,F,56,15,0,,,y,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,1,,,,,,,,
2022-08-23,2022-09-06,S(57/16),6,6_16,S,57,16,0,,,y,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022-08-23,2022-09-06,F(58/17),6,6_17,F,58,17,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
2022-08-23,2022-09-06,W(59/18),6,6_18,W,59,18,0,,,y,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,F(60/19),6,6_19,F,60,19,0,,,y,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,S(61/20),6,6_20,S,61,20,0,,,y,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
2022-08-23,2022-09-06,F(62/21),6,6_21,F,62,21,0,initially it was labelled as F(64/11) but due to process of elimination I changed the label to F(62/21),,y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,2022-09-06,W(63/22),6,6_22,W,63,22,0,,,y,,9,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,3,,,,,,,,,,3,,,,,,1,,
2022-08-23,2022-09-06,F(64/23),6,6_23,F,64,23,0,,,y,,15,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,6,,,,,,,,,1,,,,,,,,,
2022-09-06,2022-09-20,F(41/0),7,7_0,F,41,0,0,,,y,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2022-09-06,2022-09-20,S(42/1),7,7_1,S,42,1,0,,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,3,,
2022-09-06,2022-09-20,W(43/2),7,7_2,W,43,2,0,,,y,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,2022-09-20,F(44/3),7,7_3,F,44,3,0,,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,
2022-09-06,2022-09-20,F(45/4),7,7_4,F,45,4,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,2022-09-20,S(46/5),7,7_5,S,46,5,0,,,y,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,1,,,,,,1,,
2022-09-06,2022-09-20,W(47/6),7,7_6,W,47,6,0,,,y,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,
2022-09-06,2022-09-20,F(48/7),7,7_7,F,48,7,0,,mygalomorph!,y,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
2022-09-06,2022-09-20,S(49/8),7,7_8,S,49,8,0,,,y,,11,,,,,,1,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,2,,,,,,,,,
2022-09-06,2022-09-20,F(50/9),7,7_9,F,50,9,0,,mygalomorph!,y,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,2022-09-20,W(51/10),7,7_10,W,51,10,0,,,y,4,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,
2022-09-06,2022-09-20,F(52/11),7,7_11,F,52,11,0,,,y,12,12,,,,,,,,,1,,,,,,1,,,,,,,,,7,,,,3,,,,,,,,,,,,,,,,,,
2022-09-06,2022-09-20,S(53/12),7,7_12,S,53,12,0,,,y,,13,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,,,,2,,,,,1,,,,,,2,1,
2022-09-06,2022-09-20,F(54/13),7,7_13,F,54,13,0,,,y,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,
2022-09-06,2022-09-20,W(55/14),7,7_14,W,55,14,0,,,y,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,3,,
2022-09-06,2022-09-20,F(56/15),7,7_15,F,56,15,0,,,y,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,2,,
2022-09-06,2022-09-20,S(57/16),7,7_16,S,57,16,0,,,y,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,2,,,,,,,,
2022-09-06,2022-09-20,F(58/17),7,7_17,F,58,17,0,,,y,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,
2022-09-06,2022-09-20,W(59/18),7,7_18,W,59,18,0,,2 mygalomorphs!,y,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,
2022-09-06,2022-09-20,F(60/19),7,7_19,F,60,19,0,,mygalomorph!,y,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,1,,
2022-09-06,2022-09-20,S(61/20),7,7_20,S,61,20,0,I (Aaron) clearly pinned 12 carabids - but now I can't seem to find the beetle container with carabids removed - perhaps it was a big plastic cup and for some reason tossed it accidentally? ,,maybe,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,7,,,1,,,2,,
2022-09-06,2022-09-20,F(62/21),7,7_21,F,62,21,0,There is some confusion on the carabids from this sample interval - 9 appear to have already been pinned but now I just went through the beetle vial and two more were found in the vial,,y,11,11,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,,1,,1,,,,2,,
2022-09-06,2022-09-20,W(63/22),7,7_22,W,63,22,0,,,y,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,
2022-09-06,2022-09-20,F(64/23),7,7_23,F,64,23,0,,,y,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,
