Plot,PNR_Code,Area,Transect,Treatment,latitude,longitude,Elev_ft,Elev_m,mean_moisture,var_moisture,mean_temp,var_temp,n_measurements_soil_moist_2015,n_dates_cover_2015,VegAvg,LitterAvg,BareGAvg,FWDAvg,CWDAvg,RockAvg,VegHtAvg,Densi.Total,Year,n_moisture_2022,Densi.N,E,S,W,Densi_Date,n_dates_cover_2022,canopy_openness
41,0,southwest,A,F,40.14412,-79.27949,1635.89,498.62,0.67625,0.061503419,19.38888889,3.107407407,6,2,31.25,40,5,2.5,3.75,17.5,0.4,7,2015,NA,NA,NA,NA,NA,NA,NA,NA
42,1,southwest,A,S,40.14389,-79.27878,1666.54,507.96,0.598055556,0.099084907,22.77777778,46.46296296,6,2,70,3.75,18.75,4.5,2.5,0.5,0.525,70.5,2015,NA,NA,NA,NA,NA,NA,NA,NA
43,2,southwest,A,W,40.14352,-79.27795,1723.16,525.22,0.610166667,0.109394211,19.16666667,9.688888889,6,2,16.25,57.5,5,2.5,17.5,1.25,0.325,10.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
44,3,southwest,A,F,40.14325,-79.2769,1767.95,538.87,0.7665,0.089553767,18.86111111,8.693518519,6,2,5.75,72.5,3.75,10.5,2.5,5,0.1,7.5,2015,NA,NA,NA,NA,NA,NA,NA,NA
45,4,southwest,B,F,40.14284,-79.2804,1635.93,498.63,0.822833333,0.075660389,18,7.022222222,6,2,11.25,75,7.5,5,0,1.25,0.275,6.8,2015,NA,NA,NA,NA,NA,NA,NA,NA
46,5,southwest,B,S,40.14291,-79.27964,1647.8,502.25,0.613777778,0.077898519,19.30555556,16.42685185,6,2,85,1.25,2.5,4.5,1.75,5,0.575,86.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
47,6,southwest,B,W,40.14267,-79.27889,1662.99,506.88,0.773055556,0.05190713,17.94444444,12.1962963,6,2,77.5,11.25,2.5,5,0,3.75,0.7,21.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
48,7,southwest,B,F,40.14253,-79.27799,1725.2,525.84,0.567055556,0.090277396,17.69444444,6.571296296,6,2,11.25,67.5,1.25,6.25,16.25,0,0.575,10.7,2015,NA,NA,NA,NA,NA,NA,NA,NA
49,8,southwest,C,S,40.14187,-79.27998,1650.89,503.19,0.94075,0.037046597,18.69444444,6.082407407,6,2,65,1.25,5,7.5,8.75,0,0.325,74.4,2015,NA,NA,NA,NA,NA,NA,NA,NA
50,9,southwest,C,F,40.14202,-79.28066,1637.83,499.21,0.739166667,0.094509944,18.11111111,6.685185185,6,2,33.75,55,0.75,3,7.5,0,0.4,9.4,2015,NA,NA,NA,NA,NA,NA,NA,NA
51,10,southwest,C,W,40.14182,-79.27952,1661.58,506.45,0.644916667,0.072499464,17.88888889,3.374074074,6,2,58.75,18.75,5,8.75,8.75,0,1.025,7.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
52,11,southwest,C,F,40.14174,-79.27862,1681.66,512.57,0.594444444,0.08841203,18.22222222,4.551851852,6,2,25,57.5,8.75,8.75,0,0,0.475,10.4,2015,NA,NA,NA,NA,NA,NA,NA,NA
53,12,northeast,D,S,40.14405,-79.27582,1754.99,534.92,0.474444444,0.078922163,20.86111111,11.44907407,6,2,87,1.25,2.5,1.75,7.5,0,0.725,84.8,2015,NA,NA,NA,NA,NA,NA,NA,NA
54,13,northeast,D,F,40.14358,-79.2753,1764.37,537.78,0.367555556,0.031163096,18.52777778,7.115740741,6,2,21.25,58.75,8.75,5,0,6.25,0.275,9.6,2015,NA,NA,NA,NA,NA,NA,NA,NA
55,14,northeast,D,W,40.1443,-79.2763,1752.85,534.27,0.475472222,0.084341405,19.36111111,14.31574074,6,2,20,47.5,8.75,7.5,0,3.75,0.475,14.6,2015,NA,NA,NA,NA,NA,NA,NA,NA
56,15,northeast,D,F,40.14462,-79.27678,1736.15,529.18,0.415083333,0.048217264,18.72222222,17.97407407,6,2,21.25,71.25,1.25,4.5,1.25,0.5,0.3125,11.2,2015,NA,NA,NA,NA,NA,NA,NA,NA
57,16,northeast,E,S,40.1447,-79.27492,1721.98,524.86,0.550416667,0.110989086,22.02777778,19.56018519,6,2,82.5,1.25,7.5,4.25,1.25,3.25,0.6,93.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
58,17,northeast,E,F,40.14429,-79.27442,1740.52,530.51,0.610472222,0.069234871,18.22222222,9.274074074,6,2,12.5,80,1.25,5,0,1.25,0.3625,9.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
59,18,northeast,E,W,40.14501,-79.27535,1710.76,521.44,0.568416667,0.085926397,19.5,13.47777778,6,2,56.25,32.5,6.25,7.5,0,0,0.375,8.8,2015,NA,NA,NA,NA,NA,NA,NA,NA
60,19,northeast,E,F,40.14566,-79.27592,1697.01,517.25,0.364222222,0.067008696,18.94444444,17.96296296,6,2,28.75,60,1.25,5.25,4.75,0,0.375,8.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
61,20,northeast,F,S,40.14538,-79.27411,1689.99,515.11,0.481722222,0.054304152,19.47222222,17.36018519,6,2,48.75,22.5,8.75,5,8.75,3.75,0.4,85,2015,NA,NA,NA,NA,NA,NA,NA,NA
62,21,northeast,F,F,40.14497,-79.27354,1722.15,524.91,0.578972222,0.060786827,18.27777778,8.640740741,6,2,22.5,43.75,10,22.5,2.5,0,0.5,10.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
63,24,northeast,F,W,40.14584,-79.27423,1656.44,504.88,0.507861111,0.069973738,19.88888889,17.04074074,6,2,23.75,45,10,6.25,16.25,1.25,0.425,20.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
64,23,northeast,F,F,40.14631,-79.27496,1631.69,497.34,0.561666667,0.073940444,18.55555556,11.32962963,6,2,35,52.5,5,6.25,0,1.25,0.325,8.6,2015,NA,NA,NA,NA,NA,NA,NA,NA
