Treatment,Plot,Densi-N,E,S,W,Densi Total,Densi_Date,Veg1,Veg2,Litter1,Litter2,BareG1,BareG2,FWD1,FWD2,CWD1,CWD2,Rock1,Rock2,VegHt1,VegHt2,Date
Light,1,4,6,8,4,5.7,June,25,35,65,50,5,10,5,5,0,0,0,0,0.1,0.1,June
Control,2,6,5,5,4,5.2,June,45,30,50,60,0,0,0,5,0,0,5,5,0.2,0.2,June
Veg,3,10,15,5,3,8.6,June,5,15,85,70,5,2,5,10,0,0,0,3,0.1,0.05,June
Control,4,8,4,3,7,5.7,June,25,30,65,60,0,5,10,5,0,0,0,0,0.1,0.1,June
Veg,5,7,8,9,10,8.8,June,35,25,60,50,0,0,5,25,0,0,0,0,0.2,0.1,June
Light,6,8,12,12,9,10.7,June,15,40,75,45,5,5,5,10,0,0,0,0,0.4,0.4,June
Light+Veg,7,8,15,16,27,17.2,June,20,60,60,20,10,0,10,20,0,0,0,0,0.1,0.6,June
Light+Veg,8,18,10,12,10,13,June,20,45,60,30,10,15,70,10,0,0,3,0,0.1,0.2,June
Veg,9,9,8,6,6,7.5,June,40,20,45,65,2,5,3,5,0,0,10,0,0.1,0.1,June
Light+Veg,10,12,25,22,20,20.5,June,70,20,25,60,2,5,0,15,3,0,0,0,0.2,0.1,June
Control,11,5,4,6,6,5.5,June,65,10,20,65,0,5,15,10,0,0,0,10,0.2,0.05,June
Light+Veg,12,18,17,10,30,19.5,June,30,40,65,45,0,3,5,2,0,0,0,10,0.2,0.3,June
Veg,13,4,6,5,6,5.5,June,15,5,80,75,0,0,5,5,0,15,0,0,0.05,0.05,June
Light,14,6,6,14,18,11.4,June,5,25,75,40,0,5,10,5,10,25,0,0,0.1,0.3,June
Light,15,10,8,11,14,11.2,June,35,30,60,40,0,25,5,5,40,0,0,0,0.5,0.2,June
Veg,16,11,13,6,8,9.9,June,25,15,70,75,0,5,5,5,0,0,0,0,0.1,0.05,June
Light,17,7,14,10,28,15.3,June,65,80,10,20,15,0,0,0,10,0,0,0,0.3,0.5,June
Veg,18,4,6,6,7,6,June,20,35,75,48,0,0,5,2,10,0,0,15,0.1,0.1,June
Control,19,7,5,8,7,7,June,15,30,75,60,0,0,5,5,0,0,5,0,0.1,0.2,June
Light,20,11,9,8,22,13,June,60,50,30,40,0,0,10,4,0,1,0,5,0.2,0.1,June
Control,25,12,6,10,10,9.9,June,5,15,70,75,10,5,5,5,10,0,0,0,0.05,0.1,June
Light+Veg,26,26,30,38,15,28.3,June,25,20,60,60,5,10,3,10,0,0,2,0,0.1,0.1,June
Control,27,5,6,7,8,6.8,June,10,15,85,80,0,0,5,5,0,10,0,0,0.2,0.2,June
Light+Veg,28,20,20,18,21,20.5,June,55,40,30,40,5,0,10,10,0,5,0,5,0.3,0.2,June
Control,29,14,7,8,8,9.6,June,35,35,45,40,0,0,5,5,10,15,5,5,0.3,0.2,June
Control,30,5,6,9,9,7.5,June,25,15,50,70,0,0,5,5,20,5,0,5,0.2,0.1,June
Control,31,9,6,8,8,8.1,June,35,40,50,40,5,0,5,20,5,0,0,0,0.1,0.1,June
Control,32,8,9,8,8,8.6,June,40,45,55,45,0,5,0,5,0,0,5,0,0.3,0.1,June
Control,33,6,7,6,6,6.5,June,20,13,75,80,0,2,5,5,0,0,0,0,0.3,0.2,June
Control,34,6,7,9,6,7.3,June,15,2,75,15,0,0,10,3,0,80,0,0,0.4,0.05,June
Control,35,6,10,6,8,7.8,June,10,15,75,75,5,5,10,5,0,0,0,0,0.05,0.1,June
Control,36,11,10,8,12,10.7,June,25,25,60,60,0,5,10,5,0,5,5,0,0.4,0.8,June
Control,37,9,4,9,9,8.1,June,20,70,73,20,0,5,2,5,10,0,0,0,0.05,0.5,June
Control,38,18,4,11,8,10.7,June,45,45,25,40,10,0,0,0,0,15,20,0,0.2,0.2,June
Control,39,12,8,8,11,10.1,June,35,50,55,35,5,5,5,10,0,0,0,0,0.2,0.3,June
Control,40,10,9,8,9,9.4,June,45,40,40,55,10,0,5,5,0,0,0,0,0.1,0.2,June
F,41,6,6,7,8,7,June,15,15,50,50,5,0,5,5,0,5,25,25,0.5,0.2,June
BS,42,76,90,32,73,70.5,June,70,70,5,5,10,20,5,5,10,0,0,0,0.4,0.5,June
B,43,12,19,5,3,10.1,June,15,15,20,70,0,5,0,5,65,5,0,0,0.5,0.1,June
F,44,8,7,8,6,7.5,June,3,10,75,60,5,5,17,15,0,0,0,10,0.1,0.2,June
F,45,6,7,5,8,6.8,June,5,30,80,55,10,5,5,5,0,0,0,5,0.2,0.2,June
BS,46,83,80,72,96,86.1,June,55,95,5,0,0,5,15,0,5,0,20,0,0.4,0.4,June
B,47,25,24,22,11,21.3,June,80,55,10,25,5,0,5,15,0,0,5,0,0.5,1,June
F,48,13,13,8,7,10.7,June,5,25,55,60,0,0,5,15,35,0,0,0,0.2,0.8,June
BS,49,41,78,86,81,74.4,June,50,100,0,0,5,0,20,0,25,0,0,0,0.4,0.4,June
F,50,6,8,12,10,9.4,June,25,60,50,35,1,2,4,3,20,0,0,0,0.4,0.5,June
B,51,8,5,8,7,7.3,June,55,55,25,20,5,5,15,20,0,0,0,0,0.8,1,June
F,52,9,11,8,12,10.4,June,40,30,45,60,5,5,10,5,0,0,0,0,0.4,0.5,June
BS,53,92,94,68,72,84.8,June,98,60,0,0,0,5,2,5,0,30,0,0,0.5,0.5,June
F,54,15,11,5,6,9.6,June,35,15,55,70,0,5,5,5,0,0,5,5,0.4,0.2,June
B,55,21,13,15,7,14.6,June,25,20,60,75,5,5,5,10,0,0,5,0,0.2,0.8,June
F,56,10,14,10,9,11.2,June,35,15,55,80,5,0,5,5,0,0,0,0,0.4,0.5,June
B,57,94,94,78,92,93.1,June,85,85,0,0,10,0,2,0,0,5,3,10,0.5,0.4,June
F,58,6,10,12,7,9.1,June,20,15,75,80,0,0,5,5,0,0,0,0,0.2,0.5,June
BS,59,5,5,4,20,8.8,June,35,90,65,5,0,0,10,5,0,0,0,0,0.5,0.4,June
F,60,9,5,10,8,8.3,June,40,40,45,50,0,0,5,6,10,4,0,0,0.5,0.4,June
BS,61,81,87,85,74,85,June,50,15,20,60,5,5,5,10,15,0,5,10,0.4,0.3,June
F,62,10,9,8,12,10.1,June,40,25,30,70,0,0,25,5,5,5,0,0,0.7,0.4,June
F,64,7,8,10,8,8.6,June,50,60,40,30,5,5,5,5,0,0,0,0,0.4,0.3,June
B,65,12,42,16,8,20.3,June,35,15,35,50,5,15,15,10,10,20,0,0,0.5,0.8,June
Light,1,12,11,14,15,13.5,July,5,25,85,70,2,3,3,2,5,0,0,0,0.2,0.3,July
Control,2,7,9,12,9,9.6,July,15,20,75,70,3,3,2,5,0,0,0,0,0.2,0.5,July
Veg,3,12,6,9,15,10.9,July,2,5,85,80,10,5,3,10,0,0,0,0,0.2,0.2,July
Control,4,6,6,10,10,8.3,July,30,15,60,65,5,5,5,15,0,0,0,0,0.1,0.2,July
Veg,5,12,8,15,17,13.5,July,30,25,60,55,3,5,7,15,0,0,0,0,0.2,0.2,July
Light,6,22,16,18,19,19.5,July,20,15,45,70,25,10,10,5,0,0,0,0,0.2,0.3,July
Light+Veg,7,21,19,10,19,17.9,July,20,85,50,10,10,0,5,5,15,0,0,0,0.2,0.5,July
Light+Veg,8,18,19,16,20,19,July,40,30,45,55,5,10,10,0,0,0,0,5,0.3,0.1,July
Veg,9,9,6,6,9,7.8,July,20,10,45,75,15,15,5,5,0,0,15,5,0.2,0.2,July
Light+Veg,10,14,25,18,30,22.6,July,5,85,75,10,0,0,15,0,0,5,5,0,0.2,0.5,July
Control,11,8,9,11,7,9.1,July,50,20,30,60,0,0,0,15,10,0,10,0,0.4,0.3,July
Light+Veg,12,25,23,21,12,21.1,July,90,20,5,25,0,50,5,0,0,0,0,5,0.5,0.05,July
Veg,13,6,10,8,6,7.8,July,2,15,83,75,0,0,15,10,0,0,0,0,0.2,0.1,July
Light,14,7,5,14,15,10.7,July,15,15,60,65,0,5,5,10,20,5,0,0,0.3,0.2,July
Light,15,12,21,17,8,15.1,July,20,25,75,40,10,0,5,5,0,30,0,0,0.2,0.7,July
Veg,16,11,9,12,10,10.9,July,15,15,70,75,0,5,15,5,0,0,0,0,0.2,0.1,July
Light,17,25,13,11,13,16.1,July,80,90,0,10,5,0,0,0,15,0,0,0,0.6,0.6,July
Veg,18,9,7,8,7,8.1,July,25,15,70,70,0,2,0,5,0,3,5,0,0.2,0.2,July
Control,19,4,9,12,6,8.1,July,15,5,75,65,0,10,10,2,0,15,0,3,0.3,0.2,July
Light,20,20,15,18,8,15.9,July,45,50,45,30,0,5,5,10,0,0,5,5,0.3,0.4,July
Control,25,9,14,5,6,8.8,July,2,5,78,87,10,5,10,3,0,0,0,0,0.1,0.4,July
Light+Veg,26,14,19,26,12,18.5,July,20,20,75,65,2,10,3,5,0,0,0,0,0.2,0.2,July
Control,27,4,9,4,5,5.7,July,5,5,80,60,0,0,5,5,0,25,0,0,0.2,0.2,July
Light+Veg,28,9,19,18,11,14.8,July,95,85,3,5,0,0,2,10,0,0,0,0,0.5,0.5,July
Control,29,9,8,13,8,9.9,July,25,30,55,55,5,0,3,10,0,5,8,0,0.3,0.5,July
Control,30,9,12,6,13,10.4,July,10,20,40,60,5,5,5,5,40,10,0,0,0.3,0.2,July
Control,31,12,8,12,10,10.9,July,20,35,75,40,0,0,5,25,0,0,0,0,0.2,0.2,July
Control,32,11,11,9,7,9.9,July,30,35,73,55,0,3,5,5,0,0,2,2,0.2,0.4,July
Control,33,12,6,9,10,9.6,July,15,10,75,85,5,3,5,2,0,0,0,0,0.2,0.3,July
Control,34,12,6,10,12,10.4,July,5,10,90,45,0,5,5,0,0,40,0,0,0.7,0.3,July
Control,35,8,13,4,11,9.4,July,5,5,80,80,10,10,5,5,0,0,0,0,0.2,0.2,July
Control,36,11,13,10,9,11.2,July,10,25,65,60,0,5,5,5,10,5,10,0,0.3,1.5,July
Control,37,14,13,13,8,12.5,July,10,15,65,65,0,5,5,15,20,0,0,0,0.5,0.3,July
Control,38,12,15,17,12,14.6,July,40,30,25,5,10,50,5,5,20,0,0,10,0.5,0.4,July
Control,39,12,10,11,8,10.7,July,35,40,60,50,0,5,0,5,0,0,5,0,0.5,0.4,July
Control,40,15,4,8,7,8.8,July,30,30,60,60,5,0,5,10,0,0,0,0,0.2,0.4,July
F,41,9,8,5,9,8.1,August,15,80,60,0,5,10,0,0,0,10,20,0,0.2,0.7,July
BS,42,76,94,80,76,84.8,August,70,70,5,0,20,25,5,3,0,0,0,2,0.8,0.4,July
B,43,9,3,20,14,12,August,10,25,80,60,5,10,0,5,0,0,5,0,0.2,0.5,July
F,44,4,8,6,7,6.5,August,5,5,85,70,0,5,5,5,5,5,0,10,0.05,0.05,July
F,45,6,7,8,6,7,August,5,5,80,85,5,10,10,0,0,0,0,0,0.6,0.1,July
BS,46,74,64,84,95,82.4,August,95,95,0,0,3,2,0,3,2,0,0,0,0.9,0.6,July
B,47,16,29,33,14,23.9,August,85,90,5,5,0,5,0,0,0,0,10,0,0.5,0.8,July
F,48,13,11,8,6,9.9,August,10,5,85,70,0,5,5,0,10,20,0,0,0.9,0.4,July
BS,49,36,74,80,73,68.4,August,25,85,5,0,10,5,0,10,10,0,0,0,0.2,0.3,July
F,50,12,9,8,9,9.9,August,20,30,70,65,0,0,0,5,10,0,0,0,0.2,0.5,July
B,51,8,6,7,6,7,August,50,75,20,10,5,5,0,0,25,10,0,0,1.5,0.8,July
F,52,4,8,14,7,8.6,August,15,15,60,65,15,10,10,10,0,0,0,0,0.2,0.8,July
BS,53,81,96,89,91,92.8,August,95,95,0,5,5,0,0,0,0,0,0,0,0.7,1.2,July
F,54,5,6,10,8,7.5,August,15,20,50,60,20,10,5,5,0,0,10,5,0.3,0.2,July
B,55,26,16,19,14,19.5,August,20,15,55,0,10,15,10,5,0,0,5,5,0.6,0.3,July
F,56,12,11,10,8,10.7,August,20,15,75,75,0,0,3,5,0,5,2,0,0.3,0.05,July
B,57,69,83,88,94,86.8,August,80,80,0,5,10,10,10,5,0,0,0,0,0.7,0.8,July
F,58,8,8,10,5,8.1,August,10,5,80,85,0,5,5,5,0,0,5,0,0.7,0.05,July
BS,59,6,4,3,5,4.7,August,90,10,5,55,5,20,0,15,0,0,0,0,0.4,0.2,July
F,60,7,8,9,10,8.8,August,15,20,75,70,5,0,5,5,0,5,0,0,0.2,0.4,July
BS,61,80,87,20,12,51.7,August,60,70,5,5,15,10,5,0,5,15,0,0,0.4,0.5,July
F,62,6,5,7,10,7.3,August,15,10,50,25,15,25,20,40,0,0,0,0,0.5,0.4,July
F,64,6,10,5,9,7.8,August,15,15,65,75,5,5,10,5,0,0,5,0,0.4,0.2,July
B,65,9,25,13,22,17.9,August,30,15,45,50,5,15,0,0,15,20,5,0,0.3,0.1,July
Light,1,9,8,12,10,10.1,August,10,15,85,70,2,3,3,2,5,0,0,0,0.2,0.3,August
Control,2,6,4,8,7,6.5,August,15,20,75,70,3,3,2,5,0,0,0,0,0.2,0.5,August
Veg,3,11,8,8,9,9.4,August,2,5,85,80,10,5,3,10,0,0,0,0,0.2,0.2,August
Control,4,8,9,6,8,8.1,August,15,10,60,65,5,5,5,15,0,0,0,0,0.1,0.2,August
Veg,5,7,14,10,11,10.9,August,20,10,60,55,3,5,7,15,0,0,0,0,0.2,0.2,August
Light,6,12,9,15,18,14,August,20,15,45,70,25,10,10,5,0,0,0,0,0.2,0.3,August
Light+Veg,7,16,20,13,16,16.9,August,45,80,50,10,10,0,5,5,15,0,0,0,0.2,0.5,August
Light+Veg,8,17,12,14,10,13.8,August,35,30,45,55,5,10,10,0,0,0,0,5,0.3,0.1,August
Veg,9,10,9,12,10,10.7,August,5,5,45,75,15,15,5,5,0,0,15,5,0.2,0.2,August
Light+Veg,10,16,19,12,28,19.5,August,5,60,75,10,0,0,15,0,0,5,5,0,0.2,0.5,August
Control,11,8,7,6,7,7.3,August,50,20,30,60,0,0,0,15,10,0,10,0,0.4,0.3,August
Light+Veg,12,13,12,26,28,20.5,August,75,50,5,25,0,50,5,0,0,0,0,5,0.5,0.05,August
Veg,13,4,7,7,6,6.2,August,2,1,83,75,0,0,15,10,0,0,0,0,0.2,0.1,August
Light,14,11,8,12,14,11.7,August,20,15,60,65,0,5,5,10,20,5,0,0,0.3,0.2,August
Light,15,14,13,21,18,17.2,August,20,25,75,40,10,0,5,5,0,30,0,0,0.2,0.7,August
Veg,16,16,8,7,7,9.9,August,5,2,70,75,0,5,15,5,0,0,0,0,0.2,0.1,August
Light,17,8,23,32,18,21.1,August,60,80,0,10,5,0,0,0,15,0,0,0,0.6,0.6,August
Veg,18,7,6,6,4,6,August,25,15,70,70,0,2,0,5,0,3,5,0,0.2,0.2,August
Control,19,8,8,6,7,7.5,August,15,5,75,65,0,10,10,2,0,15,0,3,0.3,0.2,August
Light,20,13,10,6,19,12.5,August,45,40,45,30,0,5,5,10,0,0,5,5,0.3,0.4,August
Control,25,9,10,6,8,8.6,August,2,5,78,87,10,5,10,3,0,0,0,0,0.1,0.4,August
Light+Veg,26,26,20,16,18,20.8,August,10,15,75,65,2,10,3,5,0,0,0,0,0.2,0.2,August
Control,27,7,5,7,7,6.8,August,5,5,80,60,0,0,5,5,0,25,0,0,0.2,0.2,August
Light+Veg,28,14,12,15,16,14.8,August,95,85,3,5,0,0,2,10,0,0,0,0,0.5,0.5,August
Control,29,7,9,10,6,8.3,August,25,30,55,55,5,0,3,10,0,5,8,0,0.3,0.5,August
Control,30,9,10,12,8,10.1,August,10,20,40,60,5,5,5,5,40,10,0,0,0.3,0.2,August
Control,31,10,16,11,13,13,August,20,35,75,40,0,0,5,25,0,0,0,0,0.2,0.2,August
Control,32,8,11,9,10,9.9,August,30,35,73,55,0,3,5,5,0,0,2,2,0.2,0.4,August
Control,33,10,9,8,6,8.6,August,15,10,75,85,5,3,5,2,0,0,0,0,0.2,0.3,August
Control,34,10,9,7,8,8.8,August,5,10,90,45,0,5,5,0,0,40,0,0,0.7,0.3,August
Control,35,4,8,6,8,6.8,August,5,5,80,80,10,10,5,5,0,0,0,0,0.2,0.2,August
Control,36,8,10,8,12,9.9,August,10,25,65,60,0,5,5,5,10,5,10,0,0.3,1.5,August
Control,37,14,6,5,8,8.6,August,10,15,65,65,0,5,5,15,20,0,0,0,0.5,0.3,August
Control,38,7,11,12,10,10.4,August,40,30,25,5,10,50,5,5,20,0,0,10,0.5,0.4,August
Control,39,12,6,9,6,8.6,August,35,40,60,50,0,5,0,5,0,0,5,0,0.5,0.4,August
Control,40,7,13,8,10,9.9,August,30,30,60,60,5,0,5,10,0,0,0,0,0.2,0.4,August
